,Instace name,Lyu's Obj.Value,Lyu's t(s),ValidConstr1's Obj.Value,ValidConstr1's t(s)
0,./PDPT/PDPT-R5-K2-T1-Q100-0.txt,512.7914791,0.148999929,512.7914791,0.157999992
1,./PDPT/PDPT-R5-K2-T1-Q100-1.txt,484.061446,0.360999823,484.061446,0.381999969
2,./PDPT/PDPT-R5-K2-T1-Q100-2.txt,499.2407183,0.451999903,499.2407183,0.313000202
3,./PDPT/PDPT-R5-K2-T1-Q100-3.txt,515.7926837,0.144000053,515.7926837,0.213999987
4,./PDPT/PDPT-R5-K2-T1-Q100-4.txt,389.4566649,0.123000145,389.4566649,0.165999889
5,./PDPT/PDPT-R5-K2-T1-Q100-5.txt,315.749465,0.128000021,315.749465,0.11500001
6,./PDPT/PDPT-R5-K2-T1-Q100-6.txt,405.5462763,0.128999949,405.5462763,0.147000074
7,./PDPT/PDPT-R5-K2-T1-Q100-7.txt,403.925958,0.202000141,403.925958,0.211999893
8,./PDPT/PDPT-R5-K2-T1-Q100-8.txt,341.6068116,0.135999918,341.6068116,0.134000063
9,./PDPT/PDPT-R5-K2-T1-Q100-9.txt,556.2148644,0.321000099,556.2148644,0.296000004
10,./PDPT/PDPT-R5-K2-T2-Q100-0.txt,428.413933,0.357000113,428.413933,0.465999842
11,./PDPT/PDPT-R5-K2-T2-Q100-1.txt,376.5748306,1.359000206,376.5748306,1.25
12,./PDPT/PDPT-R5-K2-T2-Q100-2.txt,346.8854228,0.127000093,346.8854228,0.115999937
13,./PDPT/PDPT-R5-K2-T2-Q100-3.txt,535.7806734,0.238999844,535.7806734,0.245999813
14,./PDPT/PDPT-R5-K2-T2-Q100-4.txt,331.5580045,0.105999947,331.5580045,0.154999971
15,./PDPT/PDPT-R5-K2-T2-Q100-5.txt,556.5712501,0.076999903,556.5712501,0.121999979
16,./PDPT/PDPT-R5-K2-T2-Q100-6.txt,334.8810289,0.584000111,334.8810289,0.500999928
17,./PDPT/PDPT-R5-K2-T2-Q100-7.txt,365.1093043,0.142999887,365.1093043,0.190999985
18,./PDPT/PDPT-R5-K2-T2-Q100-8.txt,479.8294474,0.154999971,479.8294474,0.143000126
19,./PDPT/PDPT-R5-K2-T2-Q100-9.txt,399.7962097,0.14199996,399.7962097,0.128999949
20,./PDPT/PDPT-R5-K3-T3-Q100-0.txt,352.8422236,0.617000103,352.8422236,0.605000019
21,./PDPT/PDPT-R5-K3-T3-Q100-1.txt,430.4634961,0.404000044,430.4634961,0.464999914
22,./PDPT/PDPT-R5-K3-T3-Q100-2.txt,505.8516793,0.210999966,505.8516793,0.243999958
23,./PDPT/PDPT-R5-K3-T3-Q100-3.txt,396.7850122,0.33100009,396.7850122,0.337000132
24,./PDPT/PDPT-R5-K3-T3-Q100-4.txt,370.5676766,0.346999884,370.5676766,0.310000181
25,./PDPT/PDPT-R5-K3-T3-Q100-5.txt,415.320707,0.25,415.320707,0.256999969
26,./PDPT/PDPT-R5-K3-T3-Q100-6.txt,397.5036411,0.467999935,397.5036411,0.457999945
27,./PDPT/PDPT-R5-K3-T3-Q100-7.txt,436.6898127,0.320999861,436.6898127,0.335999966
28,./PDPT/PDPT-R5-K3-T3-Q100-8.txt,505.9778172,4.693000078,505.9778172,4.852999926
29,./PDPT/PDPT-R5-K3-T3-Q100-9.txt,402.1089662,0.338000059,402.1089662,0.319999933
30,./PDPT/PDPT-R7-K2-T1-Q100-0.txt,403.0471523,0.49000001,403.0471523,0.508999825
31,./PDPT/PDPT-R7-K2-T1-Q100-1.txt,629.9558409,0.909000158,629.9558409,0.885999918
32,./PDPT/PDPT-R7-K2-T1-Q100-2.txt,579.8308626,0.23300004,579.8308626,0.279999971
33,./PDPT/PDPT-R7-K2-T1-Q100-3.txt,483.4517413,24.45900011,483.4517413,24.23399997
34,./PDPT/PDPT-R7-K2-T1-Q100-4.txt,451.7230566,0.559000015,451.7230566,0.506000042
35,./PDPT/PDPT-R7-K2-T1-Q100-5.txt,458.5031574,0.370000124,458.5031574,0.370000124
36,./PDPT/PDPT-R7-K2-T1-Q100-6.txt,536.8171497,0.430999994,536.8171497,0.444999933
37,./PDPT/PDPT-R7-K2-T1-Q100-7.txt,596.9328225,0.674999952,596.9328225,0.664999962
38,./PDPT/PDPT-R7-K2-T1-Q100-8.txt,546.6471514,0.35800004,546.6471514,0.348999977
39,./PDPT/PDPT-R7-K2-T1-Q100-9.txt,563.2029223,1.295000076,563.2029223,1.253999949
40,./PDPT/PDPT-R7-K3-T3-Q100-0.txt,555.0301507,2.34800005,555.0301507,2.36500001
41,./PDPT/PDPT-R7-K3-T3-Q100-1.txt,580.0632167,0.729000092,580.0632167,0.740999937
42,./PDPT/PDPT-R7-K3-T3-Q100-2.txt,556.785846,1.391000032,556.785846,1.363999844
43,./PDPT/PDPT-R7-K3-T3-Q100-3.txt,535.1865947,4.822999954,535.1865947,4.805999994
44,./PDPT/PDPT-R7-K3-T3-Q100-4.txt,586.1756755,1.013000011,586.1756755,1.070999861
