,Instace name,Lyu's Obj.Value,Lyu's t(s),ValidConstr1's Obj.Value,ValidConstr1's t(s)
0,./PDPTWT/3R4K4T/3R-4K-4T-180L-0.txt,434.5130042,12.61299992,434.5130042,39.96299982
1,./PDPTWT/3R4K4T/3R-4K-4T-180L-1.txt,349.9096055,6.881000042,349.9096055,13.54699993
2,./PDPTWT/3R4K4T/3R-4K-4T-180L-2.txt,486.688755,19.39700007,486.688755,23.59299994
3,./PDPTWT/3R4K4T/3R-4K-4T-180L-3.txt,371.3476436,11.01499987,371.3476436,8.705000162
4,./PDPTWT/3R4K4T/3R-4K-4T-180L-4.txt,396.2163477,18.64300013,396.2163477,20.59899998
5,./PDPTWT/3R4K4T/3R-4K-4T-180L-5.txt,363.0607639,15.30800009,363.0607639,16.75099993
6,./PDPTWT/3R4K4T/3R-4K-4T-180L-6.txt,437.7821905,1.493999958,437.7821905,1.94900012
7,./PDPTWT/3R4K4T/3R-4K-4T-180L-7.txt,435.2737293,2.769000053,435.2737293,2.252000093
8,./PDPTWT/3R4K4T/3R-4K-4T-180L-8.txt,427.5004699,55.55200005,427.5004699,76.92500019
9,./PDPTWT/3R4K4T/3R-4K-4T-180L-9.txt,458.8234675,5.398999929,458.8234675,7.372999907
10,./PDPTWT/3R4K4T/3R-4K-4T-180M-0.txt,225.2606218,8.046000004,225.2606218,13.22000003
11,./PDPTWT/3R4K4T/3R-4K-4T-180M-1.txt,367.9540928,35.1079998,367.9540928,50.47200012
12,./PDPTWT/3R4K4T/3R-4K-4T-180M-2.txt,316.3968987,2.557999849,316.3968987,5.078999996
13,./PDPTWT/3R4K4T/3R-4K-4T-180M-3.txt,337.8241941,4.906000137,337.8241941,5.855999947
14,./PDPTWT/3R4K4T/3R-4K-4T-180M-4.txt,308.2122745,2.069000006,308.2122745,1.757999897
,,381.1176039,13.45053333,381.1176039,19.2028
